t,H,L,R
0.0000,100.0000,40.0000,5.0000
0.1000,92.4681,43.4897,5.3813
0.2000,84.9451,46.9191,5.8320
0.3000,77.5381,50.2298,6.3632
0.4000,70.3473,53.3671,6.9878
0.5000,63.4600,56.2833,7.7203
0.6000,56.9476,58.9388,8.5773
0.7000,50.8635,61.3034,9.5774
0.8000,45.2423,63.3564,10.7416
0.9000,40.1011,65.0859,12.0929
1.0000,35.4417,66.4873,13.6569
1.1000,31.2532,67.5623,15.4615
1.2000,27.5148,68.3171,17.5365
1.3000,24.1988,68.7608,19.9138
1.4000,21.2733,68.9043,22.6266
1.5000,18.7041,68.7592,25.7089
1.6000,16.4566,68.3374,29.1944
1.7000,14.4967,67.6504,33.1158
1.8000,12.7923,66.7092,37.5026
1.9000,11.3131,65.5248,42.3803
2.0000,10.0318,64.1080,47.7679
2.1000,8.9234,62.4705,53.6761
2.2000,7.9655,60.6248,60.1052
2.3000,7.1385,58.5850,67.0432
2.4000,6.4249,56.3676,74.4642
2.5000,5.8095,53.9914,82.3273
2.6000,5.2790,51.4778,90.5763
2.7000,4.8217,48.8511,99.1405
2.8000,4.4278,46.1380,107.9361
2.9000,4.0885,43.3667,116.8687
3.0000,3.7964,40.5670,125.8369
3.1000,3.5450,37.7684,134.7363
3.2000,3.3287,35.0000,143.4635
3.3000,3.1429,32.2889,151.9206
3.4000,2.9834,29.6595,160.0187
3.5000,2.8467,27.1330,167.6812
3.6000,2.7296,24.7267,174.8455
3.7000,2.6297,22.4538,181.4645
3.8000,2.5447,20.3235,187.5065
3.9000,2.4725,18.3412,192.9542
4.0000,2.4116,16.5085,197.8042
4.1000,2.3605,14.8243,202.0643
4.2000,2.3179,13.2849,205.7520
4.3000,2.2828,11.8846,208.8922
4.4000,2.2542,10.6163,211.5154
4.5000,2.2314,9.4718,213.6558
4.6000,2.2136,8.4425,215.3494
4.7000,2.2002,7.5193,216.6335
4.8000,2.1908,6.6933,217.5446
4.9000,2.1848,5.9558,218.1186
5.0000,2.1818,5.2984,218.3895
5.1000,2.1816,4.7133,218.3896
5.2000,2.1837,4.1930,218.1487
5.3000,2.1881,3.7309,217.6942
5.4000,2.1943,3.3206,217.0515
5.5000,2.2023,2.9565,216.2434
5.6000,2.2118,2.6335,215.2905
5.7000,2.2227,2.3471,214.2113
5.8000,2.2348,2.0930,213.0225
5.9000,2.2481,1.8675,211.7389
6.0000,2.2625,1.6675,210.3736
6.1000,2.2777,1.4900,208.9383
6.2000,2.2939,1.3324,207.4434
6.3000,2.3108,1.1924,205.8979
6.4000,2.3285,1.0679,204.3099
6.5000,2.3469,0.9572,202.6866
6.6000,2.3659,0.8587,201.0342
6.7000,2.3855,0.7710,199.3582
6.8000,2.4057,0.6929,197.6634
6.9000,2.4264,0.6232,195.9541
7.0000,2.4476,0.5610,194.2340
7.1000,2.4692,0.5055,192.5064
7.2000,2.4913,0.4559,190.7740
7.3000,2.5139,0.4115,189.0395
7.4000,2.5368,0.3717,187.3051
7.5000,2.5602,0.3361,185.5725
7.6000,2.5839,0.3042,183.8437
7.7000,2.6081,0.2756,182.1198
7.8000,2.6326,0.2498,180.4024
7.9000,2.6574,0.2267,178.6924
8.0000,2.6826,0.2059,176.9909
8.1000,2.7081,0.1872,175.2987
8.2000,2.7340,0.1703,173.6164
8.3000,2.7602,0.1551,171.9448
8.4000,2.7867,0.1413,170.2843
8.5000,2.8136,0.1289,168.6355
8.6000,2.8407,0.1177,166.9987
8.7000,2.8682,0.1075,165.3743
8.8000,2.8960,0.0983,163.7625
8.9000,2.9242,0.0900,162.1635
9.0000,2.9526,0.0825,160.5776
9.1000,2.9814,0.0756,159.0050
9.2000,3.0105,0.0693,157.4456
9.3000,3.0398,0.0637,155.8998
9.4000,3.0696,0.0585,154.3674
9.5000,3.0996,0.0538,152.8486
9.6000,3.1299,0.0495,151.3433
9.7000,3.1606,0.0456,149.8517
9.8000,3.1916,0.0421,148.3736
9.9000,3.2229,0.0388,146.9092
10.0000,3.2545,0.0358,145.4582
10.1000,3.2864,0.0331,144.0208
10.2000,3.3187,0.0306,142.5969
10.3000,3.3513,0.0283,141.1863
10.4000,3.3842,0.0262,139.7891
10.5000,3.4175,0.0243,138.4052
10.6000,3.4511,0.0225,137.0345
10.7000,3.4850,0.0209,135.6768
10.8000,3.5193,0.0194,134.3322
10.9000,3.5539,0.0181,133.0006
11.0000,3.5888,0.0168,131.6818
11.1000,3.6241,0.0156,130.3758
11.2000,3.6598,0.0145,129.0824
11.3000,3.6958,0.0136,127.8016
11.4000,3.7321,0.0126,126.5333
11.5000,3.7688,0.0118,125.2773
11.6000,3.8059,0.0110,124.0336
11.7000,3.8433,0.0103,122.8021
11.8000,3.8811,0.0096,121.5826
11.9000,3.9193,0.0090,120.3750
12.0000,3.9578,0.0084,119.1794
12.1000,3.9967,0.0079,117.9954
12.2000,4.0360,0.0074,116.8232
12.3000,4.0757,0.0069,115.6624
12.4000,4.1158,0.0065,114.5131
12.5000,4.1562,0.0061,113.3751
12.6000,4.1971,0.0057,112.2483
12.7000,4.2383,0.0054,111.1327
12.8000,4.2800,0.0051,110.0280
12.9000,4.3220,0.0048,108.9343
13.0000,4.3644,0.0045,107.8514
13.1000,4.4073,0.0042,106.7792
13.2000,4.4506,0.0040,105.7176
13.3000,4.4943,0.0038,104.6665
